类别,样本数,精确率,召回率,F1分数
Air Conditioner,105,0.989010989010989,0.8571428571428571,0.9183673469387754
Compact Fluorescent Lamp,270,0.996309963099631,1.0,0.9981515711645101
Fan,180,0.9326424870466321,1.0,0.9651474530831099
Fridge,60,1.0,0.6,0.7499999999999999
Hairdryer,240,0.937007874015748,0.9916666666666667,0.9635627530364372
Heater,60,0.9672131147540983,0.9833333333333333,0.9752066115702478
Incandescent Light Bulb,180,1.0,0.9944444444444445,0.9972144846796658
Laptop,270,1.0,0.9962962962962963,0.9981447124304267
Microwave,210,1.0,1.0,1.0
Vacuum,60,1.0,1.0,1.0
Washing Machine,45,0.8035714285714286,1.0,0.8910891089108911
