类别,总样本数,错误数,错误率(%),误判1_类别,误判1_次数,误判1_占比(%),误判2_类别,误判2_次数,误判2_占比(%),误判3_类别,误判3_次数,误判3_占比(%)
Air Conditioner,105,15,14.285714285714285,Hairdryer,15.0,100.0,,,,,,
Compact Fluorescent Lamp,270,0,0.0,,,,,,,,,
Fan,180,0,0.0,,,,,,,,,
Fridge,60,24,40.0,Fan,12.0,50.0,Washing Machine,11.0,45.83333333333333,Air Conditioner,1.0,4.166666666666666
Hairdryer,240,2,0.8333333333333334,Heater,2.0,100.0,,,,,,
Heater,60,1,1.6666666666666667,Hairdryer,1.0,100.0,,,,,,
Incandescent Light Bulb,180,1,0.5555555555555556,Fan,1.0,100.0,,,,,,
Laptop,270,1,0.3703703703703704,Compact Fluorescent Lamp,1.0,100.0,,,,,,
Microwave,210,0,0.0,,,,,,,,,
Vacuum,60,0,0.0,,,,,,,,,
Washing Machine,45,0,0.0,,,,,,,,,
