file,status,start,end,error
600.csv,found,63500.0,71000.0,
445.csv,found,77500.0,85000.0,
885.csv,found,41500.0,49000.0,
269.csv,found,48500.0,56000.0,
733.csv,found,34000.0,41500.0,
398.csv,found,86000.0,93500.0,
861.csv,found,28000.0,35500.0,
49.csv,found,16000.0,23500.0,
859.csv,found,39000.0,46500.0,
298.csv,found,132500.0,140000.0,
99.csv,found,48500.0,56000.0,
613.csv,found,69000.0,76500.0,
42.csv,found,26500.0,34000.0,
50.csv,found,28000.0,35500.0,
158.csv,error,,,index 118000 is out of bounds for axis 0 with size 118000
1033.csv,found,32000.0,39500.0,
443.csv,found,14000.0,21500.0,
244.csv,found,45000.0,52500.0,
145.csv,found,67000.0,74500.0,
414.csv,not_found,,,
503.csv,found,93500.0,101000.0,
276.csv,found,74500.0,82000.0,
789.csv,found,49500.0,57000.0,
534.csv,found,119000.0,126500.0,
128.csv,found,103000.0,110500.0,
1009.csv,found,48000.0,55500.0,
400.csv,found,106500.0,114000.0,
888.csv,found,15000.0,22500.0,
651.csv,found,94500.0,102000.0,
72.csv,found,49500.0,57000.0,
82.csv,found,36500.0,44000.0,
969.csv,found,49000.0,56500.0,
385.csv,found,84000.0,91500.0,
736.csv,found,29000.0,36500.0,
1006.csv,found,46000.0,53500.0,
304.csv,found,27500.0,35000.0,
22.csv,found,42500.0,50000.0,
93.csv,found,70000.0,77500.0,
154.csv,found,38000.0,45500.0,
753.csv,error,,,index 60000 is out of bounds for axis 0 with size 60000
41.csv,found,30500.0,38000.0,
65.csv,found,19000.0,26500.0,
34.csv,found,34000.0,41500.0,
1032.csv,found,18000.0,25500.0,
1018.csv,found,135000.0,142500.0,
781.csv,found,79500.0,87000.0,
468.csv,found,57500.0,65000.0,
856.csv,found,17500.0,25000.0,
24.csv,found,42000.0,49500.0,
359.csv,found,60000.0,67500.0,
681.csv,found,22500.0,30000.0,
694.csv,found,32000.0,39500.0,
192.csv,found,54500.0,62000.0,
511.csv,error,,,index 143000 is out of bounds for axis 0 with size 143000
2.csv,found,19000.0,26500.0,
169.csv,found,86000.0,93500.0,
146.csv,found,138500.0,146000.0,
246.csv,found,78000.0,85500.0,
778.csv,found,29000.0,36500.0,
614.csv,found,99000.0,106500.0,
142.csv,found,63000.0,70500.0,
305.csv,error,,,index 100000 is out of bounds for axis 0 with size 100000
131.csv,found,76000.0,83500.0,
342.csv,found,34500.0,42000.0,
1002.csv,not_found,,,
770.csv,found,44500.0,52000.0,
896.csv,found,22500.0,30000.0,
920.csv,found,17000.0,24500.0,
449.csv,found,54500.0,62000.0,
260.csv,found,102500.0,110000.0,
710.csv,found,62500.0,70000.0,
51.csv,found,2500.0,10000.0,
628.csv,found,57000.0,64500.0,
518.csv,found,102000.0,109500.0,
729.csv,error,,,index 60000 is out of bounds for axis 0 with size 60000
577.csv,found,76000.0,83500.0,
697.csv,error,,,index 60000 is out of bounds for axis 0 with size 60000
937.csv,found,42500.0,50000.0,
772.csv,found,52000.0,59500.0,
743.csv,found,21000.0,28500.0,
924.csv,found,34500.0,42000.0,
802.csv,found,41500.0,49000.0,
768.csv,error,,,index 60000 is out of bounds for axis 0 with size 60000
340.csv,found,33000.0,40500.0,
960.csv,not_found,,,
1010.csv,error,,,index 60000 is out of bounds for axis 0 with size 60000
715.csv,found,32000.0,39500.0,
194.csv,found,100500.0,108000.0,
541.csv,found,63000.0,70500.0,
607.csv,found,109000.0,116500.0,
559.csv,found,142000.0,149500.0,
68.csv,found,11000.0,18500.0,
887.csv,found,11000.0,18500.0,
706.csv,found,14000.0,21500.0,
636.csv,found,49500.0,57000.0,
280.csv,error,,,index 121000 is out of bounds for axis 0 with size 121000
1051.csv,found,112500.0,120000.0,
455.csv,found,92000.0,99500.0,
866.csv,found,27000.0,34500.0,
96.csv,found,49000.0,56500.0,
1052.csv,found,131000.0,138500.0,
434.csv,error,,,index 124000 is out of bounds for axis 0 with size 124000
30.csv,not_found,,,
645.csv,error,,,index 106000 is out of bounds for axis 0 with size 106000
902.csv,error,,,index 90000 is out of bounds for axis 0 with size 90000
843.csv,error,,,index 60000 is out of bounds for axis 0 with size 60000
881.csv,found,44500.0,52000.0,
485.csv,found,110000.0,117500.0,
309.csv,found,68500.0,76000.0,
1041.csv,found,43000.0,50500.0,
95.csv,found,30000.0,37500.0,
583.csv,not_found,,,
467.csv,found,110000.0,117500.0,
254.csv,found,45000.0,52500.0,
914.csv,found,141500.0,149000.0,
886.csv,found,19000.0,26500.0,
648.csv,found,105500.0,113000.0,
297.csv,found,59500.0,67000.0,
911.csv,found,35500.0,43000.0,
111.csv,error,,,index 50000 is out of bounds for axis 0 with size 50000
322.csv,found,66500.0,74000.0,
1037.csv,found,30000.0,37500.0,
186.csv,found,3500.0,11000.0,
1013.csv,found,2500.0,10000.0,
599.csv,found,97500.0,105000.0,
174.csv,found,118000.0,125500.0,
889.csv,found,12000.0,19500.0,
698.csv,error,,,index 60000 is out of bounds for axis 0 with size 60000
532.csv,found,76500.0,84000.0,
575.csv,found,69500.0,77000.0,
62.csv,found,24000.0,31500.0,
331.csv,found,114500.0,122000.0,
475.csv,found,84000.0,91500.0,
43.csv,found,28500.0,36000.0,
589.csv,found,74000.0,81500.0,
786.csv,error,,,index 150000 is out of bounds for axis 0 with size 150000
936.csv,found,41000.0,48500.0,
930.csv,found,500.0,8000.0,
1024.csv,found,15000.0,22500.0,
514.csv,found,42500.0,50000.0,
823.csv,found,47000.0,54500.0,
373.csv,found,92500.0,100000.0,
195.csv,found,77500.0,85000.0,
627.csv,found,54000.0,61500.0,
1050.csv,found,114000.0,121500.0,
601.csv,found,106000.0,113500.0,
78.csv,not_found,,,
919.csv,found,50000.0,57500.0,
700.csv,found,51000.0,58500.0,
220.csv,found,111500.0,119000.0,
285.csv,found,31500.0,39000.0,
929.csv,found,0.0,7500.0,
793.csv,found,24500.0,32000.0,
143.csv,found,2500.0,10000.0,
1014.csv,found,25500.0,33000.0,
20.csv,found,21000.0,28500.0,
213.csv,found,35000.0,42500.0,
848.csv,found,25500.0,33000.0,
925.csv,found,25500.0,33000.0,
415.csv,found,14000.0,21500.0,
284.csv,found,24000.0,31500.0,
1054.csv,found,52000.0,59500.0,
345.csv,error,,,index 147000 is out of bounds for axis 0 with size 147000
585.csv,found,120500.0,128000.0,
361.csv,error,,,index 90000 is out of bounds for axis 0 with size 90000
388.csv,found,104500.0,112000.0,
233.csv,found,109000.0,116500.0,
105.csv,error,,,index 60000 is out of bounds for axis 0 with size 60000
119.csv,found,69000.0,76500.0,
998.csv,found,41000.0,48500.0,
320.csv,found,13000.0,20500.0,
840.csv,found,45000.0,52500.0,
79.csv,found,1000.0,8500.0,
423.csv,found,126500.0,134000.0,
852.csv,found,47500.0,55000.0,
451.csv,found,14500.0,22000.0,
149.csv,found,106000.0,113500.0,
221.csv,found,110500.0,118000.0,
833.csv,not_found,,,
961.csv,found,14000.0,21500.0,
551.csv,found,69000.0,76500.0,
316.csv,found,101000.0,108500.0,
121.csv,found,96500.0,104000.0,
670.csv,not_found,,,
26.csv,found,30000.0,37500.0,
897.csv,found,26500.0,34000.0,
824.csv,found,42000.0,49500.0,
725.csv,error,,,index 150000 is out of bounds for axis 0 with size 150000
688.csv,found,51000.0,58500.0,
973.csv,found,109000.0,116500.0,
360.csv,found,53000.0,60500.0,
479.csv,found,2500.0,10000.0,
830.csv,not_found,,,
582.csv,not_found,,,
365.csv,found,106500.0,114000.0,
905.csv,found,113500.0,121000.0,
228.csv,found,128500.0,136000.0,
785.csv,error,,,index 150000 is out of bounds for axis 0 with size 150000
765.csv,found,50000.0,57500.0,
847.csv,found,37000.0,44500.0,
835.csv,found,63500.0,71000.0,
948.csv,found,15000.0,22500.0,
176.csv,found,68500.0,76000.0,
862.csv,found,47500.0,55000.0,
355.csv,found,58000.0,65500.0,
399.csv,found,91500.0,99000.0,
75.csv,not_found,,,
172.csv,found,13500.0,21000.0,
684.csv,found,18500.0,26000.0,
846.csv,found,27000.0,34500.0,
229.csv,found,67500.0,75000.0,
190.csv,found,111500.0,119000.0,
1073.csv,found,63500.0,71000.0,
159.csv,found,106000.0,113500.0,
291.csv,found,16000.0,23500.0,
492.csv,found,67000.0,74500.0,
214.csv,found,116000.0,123500.0,
616.csv,found,57500.0,65000.0,
489.csv,found,129000.0,136500.0,
834.csv,not_found,,,
1004.csv,found,1000.0,8500.0,
217.csv,found,121000.0,128500.0,
659.csv,found,79000.0,86500.0,
125.csv,found,95000.0,102500.0,
11.csv,found,130000.0,137500.0,
983.csv,found,1500.0,9000.0,
199.csv,found,15500.0,23000.0,
623.csv,found,23500.0,31000.0,
469.csv,found,116500.0,124000.0,
303.csv,found,33000.0,40500.0,
1053.csv,found,51500.0,59000.0,
942.csv,not_found,,,
1025.csv,found,18500.0,26000.0,
6.csv,found,143000.0,150500.0,
855.csv,found,25000.0,32500.0,
223.csv,found,80500.0,88000.0,
383.csv,found,77500.0,85000.0,
107.csv,found,9500.0,17000.0,
850.csv,found,48500.0,56000.0,
561.csv,found,130500.0,138000.0,
726.csv,error,,,index 60000 is out of bounds for axis 0 with size 60000
517.csv,found,42500.0,50000.0,
993.csv,found,25000.0,32500.0,
572.csv,found,39000.0,46500.0,
255.csv,found,34000.0,41500.0,
1035.csv,found,36000.0,43500.0,
620.csv,found,124500.0,132000.0,
31.csv,found,2000.0,9500.0,
708.csv,found,11000.0,18500.0,
127.csv,found,58500.0,66000.0,
56.csv,found,51500.0,59000.0,
477.csv,found,120500.0,128000.0,
1069.csv,found,43000.0,50500.0,
100.csv,found,66500.0,74000.0,
584.csv,not_found,,,
545.csv,found,27500.0,35000.0,
811.csv,found,51500.0,59000.0,
941.csv,not_found,,,
301.csv,found,19000.0,26500.0,
821.csv,found,23500.0,31000.0,
317.csv,found,128500.0,136000.0,
421.csv,found,104500.0,112000.0,
568.csv,found,122000.0,129500.0,
974.csv,error,,,index 120000 is out of bounds for axis 0 with size 120000
629.csv,found,41500.0,49000.0,
876.csv,found,42500.0,50000.0,
1056.csv,found,50500.0,58000.0,
350.csv,found,15500.0,23000.0,
1057.csv,error,,,index 60000 is out of bounds for axis 0 with size 60000
744.csv,found,30000.0,37500.0,
946.csv,found,19000.0,26500.0,
510.csv,found,105000.0,112500.0,
1012.csv,found,16500.0,24000.0,
990.csv,found,38000.0,45500.0,
486.csv,found,91000.0,98500.0,
853.csv,found,49000.0,56500.0,
464.csv,found,111000.0,118500.0,
1021.csv,found,124000.0,131500.0,
411.csv,error,,,index 116000 is out of bounds for axis 0 with size 116000
110.csv,found,50000.0,57500.0,
605.csv,found,75000.0,82500.0,
465.csv,found,91500.0,99000.0,
182.csv,not_found,,,
97.csv,found,36000.0,43500.0,
500.csv,found,30500.0,38000.0,
209.csv,found,13000.0,20500.0,
311.csv,found,90000.0,97500.0,
470.csv,found,35000.0,42500.0,
526.csv,found,28500.0,36000.0,
619.csv,found,53500.0,61000.0,
562.csv,found,138500.0,146000.0,
523.csv,found,37500.0,45000.0,
981.csv,found,1000.0,8500.0,
540.csv,found,57000.0,64500.0,
553.csv,found,66000.0,73500.0,
963.csv,found,112500.0,120000.0,
13.csv,found,135000.0,142500.0,
1031.csv,found,28500.0,36000.0,
45.csv,found,46000.0,53500.0,
857.csv,found,34500.0,42000.0,
262.csv,found,121000.0,128500.0,
898.csv,found,27000.0,34500.0,
474.csv,found,45000.0,52500.0,
817.csv,found,36500.0,44000.0,
88.csv,found,23500.0,31000.0,
184.csv,not_found,,,
106.csv,found,2500.0,10000.0,
39.csv,error,,,index 150000 is out of bounds for axis 0 with size 150000
808.csv,found,23000.0,30500.0,
931.csv,found,1500.0,9000.0,
775.csv,found,37000.0,44500.0,
18.csv,found,27000.0,34500.0,
571.csv,found,56000.0,63500.0,
140.csv,found,34500.0,42000.0,
927.csv,found,40000.0,47500.0,
705.csv,found,12500.0,20000.0,
923.csv,found,25000.0,32500.0,
570.csv,found,66000.0,73500.0,
982.csv,found,0.0,7500.0,
928.csv,found,2000.0,9500.0,
222.csv,found,90000.0,97500.0,
531.csv,found,90500.0,98000.0,
660.csv,found,77000.0,84500.0,
462.csv,found,1500.0,9000.0,
404.csv,found,64000.0,71500.0,
202.csv,found,86500.0,94000.0,
164.csv,found,163500.0,171000.0,
277.csv,found,92000.0,99500.0,
89.csv,found,66000.0,73500.0,
502.csv,found,17000.0,24500.0,
528.csv,found,59500.0,67000.0,
812.csv,found,50000.0,57500.0,
70.csv,found,47500.0,55000.0,
711.csv,found,52000.0,59500.0,
548.csv,found,85000.0,92500.0,
251.csv,found,10500.0,18000.0,
294.csv,found,64500.0,72000.0,
310.csv,found,61000.0,68500.0,
560.csv,found,140500.0,148000.0,
250.csv,found,13000.0,20500.0,
197.csv,found,7000.0,14500.0,
564.csv,found,39000.0,46500.0,
141.csv,found,30000.0,37500.0,
364.csv,found,82000.0,89500.0,
234.csv,found,98500.0,106000.0,
15.csv,found,126000.0,133500.0,
326.csv,found,25000.0,32500.0,
816.csv,found,41000.0,48500.0,
591.csv,found,39000.0,46500.0,
381.csv,found,73500.0,81000.0,
858.csv,found,14000.0,21500.0,
702.csv,found,22500.0,30000.0,
596.csv,found,20500.0,28000.0,
14.csv,found,104000.0,111500.0,
188.csv,found,0.0,7500.0,
60.csv,found,23000.0,30500.0,
124.csv,found,56500.0,64000.0,
46.csv,found,23000.0,30500.0,
718.csv,found,21500.0,29000.0,
258.csv,found,52500.0,60000.0,
253.csv,found,8000.0,15500.0,
558.csv,error,,,index 144000 is out of bounds for axis 0 with size 144000
841.csv,found,52000.0,59500.0,
654.csv,found,58500.0,66000.0,
506.csv,found,126500.0,134000.0,
430.csv,found,86000.0,93500.0,
